driver_id,driver_name,depot_code,licence_code,hired_date
DRV-463,Shaun Ndlovu,KES-DBN,EC,2023-05-23
DRV-464,Johan Khumalo,KES-DBN,EC,2019-04-04
DRV-465,Thabo Mahlangu,KES-DBN,C1,2019-01-03
DRV-466,Kagiso Fourie,KES-DBN,EC,2017-03-21
DRV-467,Mpho Khumalo,KES-DBN,EC,2016-10-24
DRV-468,Vusi Botha,KES-DBN,EC,2020-01-21
DRV-469,Dumisani Jacobs,KES-DBN,C,2024-01-22
DRV-470,Themba Govender,KES-DBN,EC,2021-03-05
DRV-471,Bongani Ndlovu,KES-DBN,EC,2020-05-26
DRV-472,Sipho Govender,KES-DBN,C,2023-06-12
DRV-473,Rajesh Van Wyk,KES-DBN,C,2022-02-16
DRV-474,Rajesh Mthembu,KES-DBN,EC,2017-10-03
DRV-475,Pieter Govender,KES-DBN,C1,2020-07-01
DRV-476,Mpho Govender,KES-DBN,C1,2022-03-22
DRV-477,Thabo Adams,KES-DBN,C,2022-02-20
DRV-478,Bongani Sithole,KES-DBN,C1,2018-12-05
DRV-479,Ashwin Maseko,KES-DBN,EC,2018-06-06
DRV-480,Dumisani Nkosi,KES-DBN,EC,2017-11-27
DRV-481,Nkosi Naidoo,KES-DBN,EC,2023-04-01
DRV-482,Rajesh Govender,KES-DBN,EC,2023-09-09
DRV-483,Shaun Maseko,KES-CPT,EC,2020-10-03
DRV-484,Andile Jacobs,KES-CPT,C1,2017-12-07
DRV-485,Nkosi Nkosi,KES-CPT,EC,2019-05-15
DRV-486,Kagiso Mokoena,KES-CPT,EC,2017-12-29
DRV-487,Ashwin Nkosi,KES-CPT,EC,2018-01-09
DRV-488,Dumisani Maseko,KES-CPT,C,2016-10-25
DRV-489,Nkosi Govender,KES-CPT,EC,2023-10-27
DRV-490,Vusi Adams,KES-CPT,C1,2023-12-31
DRV-491,Sizwe Sithole,KES-CPT,EC,2024-06-28
DRV-492,Lungile Malan,KES-CPT,EC,2022-06-22
DRV-493,Bongani Dlamini,KES-CPT,EC,2023-09-28
DRV-494,Ashwin Pillay,KES-CPT,EC,2023-04-28
DRV-495,Riaan Mthembu,KES-CPT,C,2018-12-24
DRV-496,Pieter Pillay,KES-CPT,EC,2019-06-06
DRV-497,Mpho Molefe,KES-CPT,C,2021-05-19
DRV-498,Sipho Jacobs,KES-CPT,EC,2022-08-21
DRV-499,Lungile Naidoo,KES-CPT,EC,2020-11-18
DRV-500,Johan Nkosi,KES-CPT,EC,2019-08-28
DRV-501,Johan Fourie,KES-CPT,EC,2018-04-14
DRV-502,Lungile Sithole,KES-CPT,EC,2022-12-24
DRV-503,Shaun Naidoo,KES-CPT,C1,2021-05-29
DRV-504,Riaan Naidoo,KES-CPT,EC,2019-07-23
DRV-505,Riaan Ndlovu,KES-CPT,C1,2017-01-26
DRV-506,Lungile Jacobs,KES-CPT,EC,2024-02-13
DRV-507,Thabo Zwane,KES-CPT,EC,2016-12-04
DRV-508,Bongani Molefe,KES-CPT,EC,2017-09-12
DRV-509,Bongani Pillay,KES-CPT,EC,2022-11-02
DRV-510,Themba Zwane,KES-CPT,EC,2022-07-24
DRV-511,Riaan Mthembu,KES-CPT,C1,2022-03-28
DRV-512,Ashwin Ndlovu,KES-CPT,EC,2018-12-10
